Song,Artist,Download,View
Dakiti,"Bad Bunny, Jhay Cortez",https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,"7,616,381"
Dynamite,BTS,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,"5,379,661"
Life Goes On,BTS,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,"5,259,988"
positions,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,"4,823,422"
Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,"4,640,463"
Therefore I Am,Billie Eilish,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,"4,523,260"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1,"4,402,737"
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,"3,751,914"
BICHOTA,KAROL G,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,"3,229,026"
Prisoner (feat. Dua Lipa),Miley Cyrus,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg,"3,192,919"
What You Know Bout Love,Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,"3,107,255"
Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,"3,103,152"
Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,"2,966,669"
Fly To My Room,BTS,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS,"2,920,860"
Blue & Grey,BTS,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl,"2,878,564"
WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,"2,853,116"
Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,"2,810,704"
Telepathy,BTS,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne,"2,665,711"
All I Want for Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,"2,587,920"
Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,"2,560,467"
Dis-ease,BTS,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0,"2,501,921"
Holy (feat. Chance The Rapper),Justin Bieber,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,"2,466,731"
Stay,BTS,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz,"2,464,628"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,"2,441,934"
34+35,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,"2,429,316"
Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,"2,425,929"
you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,"2,362,697"
Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,"2,275,593"
La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq,"2,189,272"
Levitating (feat. DaBaby),Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,"2,083,249"
La Tóxica,Farruko,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv,"2,055,112"
Last Christmas,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,"2,050,352"
ROCKSTAR (feat. Roddy Ricch),DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,"2,049,083"
pov,Ariana Grande,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,"2,046,473"
Hawái - Remix,"Maluma, The Weeknd",https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F,"2,040,093"
Se Te Nota (with Guaynaa),Lele Pons,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu,"2,007,583"
Vida de Rico,Camilo,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F,"1,983,344"
Chica Ideal,"Sebastian Yatra, Guaynaa",https://open.spotify.com/track/21N4Buj4xsyLb218lYle61,"1,949,701"
Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,"1,928,710"
Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,"1,858,806"
Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,"1,853,095"
Jeans,Justin Quiles,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW,"1,837,468"
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,"1,825,135"
Mi Niña,"Wisin, Myke Towers, Los Legendarios",https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi,"1,807,082"
Laugh Now Cry Later (feat. Lil Durk),Drake,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,"1,791,169"
Wonder,Shawn Mendes,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb,"1,780,328"
Una Locura,"Ozuna, J Balvin, Chencho Corleone",https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU,"1,740,816"
Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ,"1,738,430"
Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,"1,703,615"
Take You Dancing,Jason Derulo,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,"1,702,387"
UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,"1,696,328"
Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS,"1,677,518"
Santa Tell Me,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,"1,661,280"
Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,"1,648,988"
