Song,Artist,Download,View
Mood (feat. Iann Dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,"6,367,748"
WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,"6,290,155"
Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,"4,856,434"
Holy (feat. Chance The Rapper),Justin Bieber,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,"4,687,166"
Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,"4,233,879"
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,"4,107,756"
Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,"3,771,329"
Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,"3,760,312"
Savage Love (Laxed - Siren Beat),Jawsh 685,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,"3,603,708"
ROCKSTAR (feat. Roddy Ricch),DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,"3,414,696"
Laugh Now Cry Later (feat. Lil Durk),Drake,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,"3,272,552"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,"3,231,623"
Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,"3,192,515"
POPSTAR (feat. Drake),DJ Khaled,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,"2,909,435"
you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,"2,728,799"
Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,"2,651,625"
Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,"2,621,044"
Breaking Me,Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,"2,541,171"
Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,"2,470,781"
Relación - Remix,Sech,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,"2,448,669"
Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,"2,375,814"
"Ay, DiOs Mío!",KAROL G,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,"2,343,519"
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,"2,248,414"
Me Gusta (with Cardi B & Myke Towers),Anitta,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,"2,244,409"
La Curiosidad,Jay Wheeler,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,"2,130,051"
Come & Go (with Marshmello),Juice WRLD,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,"2,113,311"
Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,"2,046,124"
Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,"1,969,120"
Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,"1,957,612"
Take You Dancing,Jason Derulo,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,"1,938,064"
La Jeepeta - Remix,Nio Garcia,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,"1,898,313"
Caramelo,Ozuna,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo,"1,886,177"
Tattoo - Remix with Camilo,Rauw Alejandro,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S,"1,882,440"
Rain On Me (with Ariana Grande),Lady Gaga,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,"1,871,314"
Before You Go,Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,"1,840,469"
Diamonds,Sam Smith,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv,"1,824,111"
death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,"1,782,562"
Wishing Well,Juice WRLD,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,"1,775,540"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,"1,766,773"
Go Crazy,Chris Brown,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,"1,728,482"
Kings & Queens,Ava Max,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx,"1,652,528"
Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,"1,612,214"
Blueberry Faygo,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,"1,579,481"
GREECE (feat. Drake),DJ Khaled,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,"1,569,443"
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,"1,562,714"
Una Locura,Ozuna,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU,"1,503,897"
Stuck with U (with Justin Bieber),Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,"1,493,228"
Break My Heart,Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,"1,490,353"
Smile (with The Weeknd),Juice WRLD,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,"1,478,829"
Djadja (feat. Maluma) - Remix,Aya Nakamura,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g,"1,464,953"
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,"1,449,494"
ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,"1,429,897"
How You Like That,BLACKPINK,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,"1,427,588"
Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,"1,424,253"
BXL ZOO,Damso,https://open.spotify.com/track/7BO3y8lmogACezwHqZ1HTB,"1,404,442"
Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,"1,400,051"
DEUX TOILES DE MER,Damso,https://open.spotify.com/track/7yN9Qx1HtE4c1fhakBz8Ay,"1,386,265"
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,"1,375,104"
goosebumps,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,"1,343,421"
The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,"1,305,950"
Intentions (feat. Quavo),Justin Bieber,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,"1,299,108"
Toosie Slide,Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"1,284,052"
Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,"1,277,552"
LIFE LIFE,Damso,https://open.spotify.com/track/4FnWH9l7gxQmrNpfA5AZKP,"1,274,718"
Still Don't Know My Name,Labrinth,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,"1,269,959"
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9,"1,251,277"
my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,"1,245,563"
Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,"1,225,123"
MAMACITA,Black Eyed Peas,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,"1,223,558"
Mamichula - con Nicki Nicole,Trueno,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM,"1,221,019"
